product_name,quantity,amount
FINE SONA,1329.5,75936.4
SUNPURE 1LT,211,27031
ROYAL SONA,441.5,23248
SHIVALING FINE,163.8,21788.2
OLD SONA,347.13,15944.29
SPL SONA,274.8,14217
BULLET RICE,155,11229
ATTA SPL,258.5,10281
SUGAR,241.9,9844.7
CHILLI [B],12.65,9344
URID DALL,66.3,8465.7
HMT OLD,111,7549
GN SEEDS,44.35,6280.75
W TASTY,98,5554
MOONG DALL,45.8,5551.7
KOLAM OLD,84,5468.5
ASH ATTA 10KG.,11,5370
GEMINI OIL 1LT,36,5034
BULLET SONA,76.5,4598
FREEDOM SF OIL,32,4095
CHILLI [G],8.75,3840
JAGARRY R,64.97,3837.28
RAJMOUDI RICE,59.3,3558
GINGELLY OIL 1LI,29,3466
ASH ATTA 5KG,11,3310
GOLD WINNER 1LR,25,3305
GRB 500ML,8,3265
FORTUNE OIL,24,3126
B L RAGI FLOOR,62,3113
RAVA(M),59.15,2876.2
COTHAS 500G,8,2405
10KG BABA GOLD,4,2340
FRIED GRAM,25,2252
GRAM DALL,27.15,2178.25
DHANIYA FINE,11.95,2070.5
CHILLI [M],6.4,2046.75
PONNY SPL,32,2024
OFFER 1999,1,1999
JEERA FINE 100G,33.5,1976.5
AVALAKKI,40,1975.5
DHEEPAM 1LR B,10,1930
DOSA RICE (FINE),55,1890
URID GOLA,14.75,1882
GREEN MOONG,15.5,1863
RUCHI GOLD,18,1858
ASH ATTA 1KG,27,1755
PEPPER FINE 100G,21,1590
IDLY RICE,39.5,1585
SUPER SONA,27.8,1529
GINGELLY OIL 500,25,1498
ARIEL FR 4KG,1,1420
5LIT SUNPURE CAN,2,1420
HMT SONA,26,1404
BEST SONA,26,1404
BABA BLK BULET,26,1404
SURF XL TOP 6KG,1,1400
MAGGI 8PACK,13,1354
WHEEL POWDER 1KG,18,1334
JEERA FINE 250G,6,1230
BROKEN RAW,35,1225
NANDINI 1LR,2,1195
PANCHAMI OIL 1LB,6,1175
WHEAT FINE,28.25,1151
RAW SONA,20,1123
B L BANSI 1KG,20,1119
TABLE PAPER,10,1100
CASHW 250GM,4,1095
IND CLASIC,6,1035
HARPIC 500ML,10,1009
LONG BODY,26,1002.5
BLACK STONE 125R,8,995
HARPIC 1LTR,5,995
KNG GR OIL,6,961
B TILL 100,35,945
ARIEL FR 2L,2,935
B GRAM,11,888.5
PARRY SUGAR 1KG,19,888
SURF 2L FR,2,880
RED BOILED,17,850
TIDE 1 KG,6,850
AASHIRVAD SALT,33,847
PURI 500GM,19,845
ANN.ROCKSALT 1KG,43,840
GRB 500ML B,2,835
B L MAIDA 1KG,15,801
FORTUNE MUS OIL,4,800
WALNET 200GM,2,765
5LTR GEMINI,1,740
POPPY SEEDS 100G,4,736
AMRUTHAM OIL 1LR,3,735
MUSTARD FINE 100,35,714
PISTA 200GM,2.05,701
LUX 100GM,19,684
ASH MULTI 5KG,2,680
COMFART 800ML,3,675
LOBO,6.75,674
VIJAY RICE FLOOR,14,672
FORTUNE RC,4,642
DAR FANTASY 40RS,16,640
SURF XL 35RS,18,626
3ROSES 250G,3,621
HORSE GRAM,6.75,616.25
P CHUTE 200ML,8,602
MUSTARD 250G,9,602
VIM 10 RS,58,579
CYCLE 50RS,12,576
BOOST 1KG,1,575
RED LABEL 500G,2,565
SAIGO,5.75,565
COPRA,2.78,563.2
LIFE BOY 36RS,16,561
SUNPURE 500ML,8,560
TEJU 500GM,4,560
CASHW FINE 100GM,6,555
DOVE SET 235,2,540
JAGGARY (H),8.88,531.6
AA CP 500GM,3,528
JAGARY BUCKET,7,515
AA 10RS,48,515
RED LABEL NC 250,3,512
KRISHNA 200ML,3,502
SURF XL 22RS,23,500.5
ANIL SEMIYA 500G,9,496
P CHUTE 600ML,2,484
SURF XL TOP 1KG,2,483
B L RICE FLOOR,10,482
METHI 250GM,8,481
BOOST 500G,2,480
B L CHIROTI 500G,16,469
ZEERA RICE FINE,4,466
KABUL,3,466
DHEEPAM 1LTR P,3,460
YALAKI FINE,0.17,459
JEENI SPL,1,440
B L AVALAKI M,11,428
PEPPER 50GM,9,427
APLA 70RS,8,425
BIOGAN BIG,2,420
SANTOOR 38RS,12,420
BROOM GALA,3,420
METHI 100G,16,417
SURF XL TOP 1,2,415
MTR PULIOGARE 20,3,400
AA CHIKEN 100GM,10,400
RED LABEL 100G,9,396
MY SANDLE B,6,396
ANJURA,1,395
SAFOLA GREEN,2,390
TAMRAND,2.36,386.35
GRB JAMUN 1=1,3,385
VIM LIQ 750ML,2,385
MASUR DALL,3.5,385
EXO ROUND B,6,383
MTR T POW 100G,13,383
WATER GLASS,4,380
AA TP 100GM,14,380
COL PASTE 100GM,6,380
MY SANDEL S,9,373.5
POPPEY SEEDS 50G,4,373
CONGRAS GN,2,370
MAIDA SPL,7.5,360
FAIR N LOVELY 50,3,360
BASMATHI RICE,3,360
DABUR PASTE 200G,3,351
B L GFLOOR 500,7,346
NYLON SAIGO 500G,5,345
POWER SOAP,34,339.4
LIZOL 500ML,4,336
VIJAY IDLY RAVA,7,336
MTR PULIOGARE 10,5,334
VASU BIG,10,330
ASH SELECT 5KG,1,328
NANDINI GHEE 200,4,320
DRY GRAPES 250GM,3,320
ARIEL TOP 500GM,2,314
L G POWDER 50GM,4,313
HORLICKS WOMEN 5,1,310
SURF EASY 1KG,2,310
RAVA B,6.5,309
HARPIC RED 200,3,306
COTHAS 100G,5,300
NANDINI 500ML,1,300
RIN POWDER 1,3,300
HIDE N SIKE,10,300
GINGER GARLIC,2,300
DRY GRAPES 100GM,7,300
COL MAX 100GM,5,295
EV TIKALAL 100,5,292
BALLAR,2,290
GRB 100ML,3,288
KLF 500ML,2,286
TASTING POWDAR,1.35,282
RED LABEL 250G,2,282
MTR BISIBELE 100,4,272
FREEDOM 10LR,1,270
SABEENA 500GM,27,268.5
MAGGI 12RS,19,266
RIN BIG BAR,10,265
GARBAGE M,4,265
MADHUR SUGAR 5KG,1,265
RIN SOAP 10RS,26,250.6
3ROSES 100G,3,249
MTR BADAM POW 50,1,245
TATA SALT,9,243
HIDE N SICK 60RS,4,240
SENSODENE 125,2,240
PEPSDENT 200GM,3,240
AJAY HARD,12,240
HIMALAYA SOAP S,1,235
BADAM SEEDS 250G,1,235
MY SANDEL SET,1,235
MTR RAVAIDLY 1KG,1,230
GRAM FLOOR SOAP,6,228
PATTA,0.45,226.5
TAJ 250G,1,225
