product_name,quantity,amount
RAW SONA,744.9,49144.1
BULLET SONA,623.75,41014.5
OLD SONA,692.35,38591.6
FINE SONA,404,27359
SHIVALING FINE,146.85,25726.25
SUPER SONA,280,17792
SUNPURE 1LT,147,16707
HMT OLD,215.5,16364
ATTA SPL,306,12230
ROYAL SONA,201,11606
SUGAR,272.1,11469.2
GN SEEDS,75.84,11258.32
URID DALL,71,10280.25
KOLAM OLD,136,10019
FREEDOM SF OIL,87,9872
ASH ATTA 10KG.,15,7825
JAGARRY R,102.593,6163
GINGELLY OIL 1LI,56,6017
FRIED GRAM,53.35,5872.5
BULLET RICE,73,5845
MOONG DALL,43.25,5720
GRB 500ML,13,5340
NANDINI 1LR,8,5020
DOSA RICE (FINE),113.5,4850
COPRA,25.245,4585.65
RAVA(M),91.75,4410
COTHAS 500G,13,4340
WHITE TASTY,62,4252
GRAM DALL,40,3827.5
URID GOLA,23.75,3502
KV GOLD 26KG,2,3494
JAVE WHEAT,35,3130
TAMRAND,16.7,3030.75
JEERA FINE 100G,38.5,2963
GREEN MOONG,22.503,2954.64
DHANIYA FINE,15.7,2916
CHILLI [B],4.7,2912.5
CHILLI [G],6.435,2783.8
10KG BABA GOLD,4,2770
ASH ATTA 5KG,9,2770
JEERA LOOSE,3.75,2745
SURF XL TOP 6KG,2,2700
CHILLI [M],9.3,2687.5
AVALAKKI,46.5,2686
RAGI,49.45,2644.75
GOLD WINNER 1LR,23,2617
WHEEL POWDER 1KG,35,2580
PONNY SPL,35,2510
B GRAM,29.5,2472.75
RUCHI GOLD,27,2432
DHEEPAM 1LR B,13,2430
RAVA(C),50,2400
FORTUNE OIL,20,2325
PEPPER FINE 100G,25.5,2176
YALAKI FINE,0.725,2086.25
LAVANG L,1.55,2060.5
GINGELLY OIL 500,37,2017
RAJMOUDI RICE,22,1982
5LIT SUNPURE CAN,3,1890
BABA BLK BULET,1,1768
CASHEW JH,2,1764.75
WHEAT FINE,38.5,1751.5
FIONA OIL,16,1741
PEDI SURE 1KG,1,1720
TATA SALT,63,1701
15 LTR SUNPURE,1,1660
GEMINI OIL 1LT,14,1659
ASH ATTA 1KG,25,1657
IDLY RICE,33,1630
KRISHNA 500ML,4,1625
BROKEN RAW,38,1584
B L MAIDA 1KG,28,1566
B L BANSI 1KG,25.5,1469
PATTA,3.35,1459.25
