product_name,quantity,amount
SHIVALING FINE,329.9,51812.45
SUNPURE 1LT,377,43493
HMT OLD,520,37054
FREEDOM SF OIL,262,31204
BABA BLK BULET,17,25480
RAW SONA,368.5,22142
OLD SONA,424,21102
BULLET RICE,207.75,15722
SUPER SONA,254.5,14609
FINE SONA,206,12824
ATTA SPL,318.85,12286
URID DALL,92.64,11793.7
SUGAR,284.75,11545.5
BEST SONA,162.5,9302
GRB 1LTR,12,9140
ASH ATTA 10KG.,16,7850
GN SEEDS,45.25,6539
10KG BABA GOLD,17,5050
GINGELLY OIL 1LI,35,3882
PONNY SPL,59.5,3867.5
PEDI SURE 1KG,2,3415
KV GOLD 26KG,2,3280
MOONG DALL,26.253,3255.63
ASH ATTA 5KG,11,3254
5LIT SUNPURE CAN,5,3170
RAJMOUDI RICE,50.5,3107.5
DHANIYA FINE,17.75,3096.25
KOLAM OLD,45.5,3086
FRIED GRAM,33.85,3077.4
RAVA(M),64,3060
JEERA FINE 100G,35,3042
COTHAS 500G,9,3017
DOSA RICE (FINE),75.5,2939
GREEN MOONG,22,2821.5
GRAM DALL,33.35,2816.5
JAGARRY R,48.15,2813.14
ROYAL SONA,51.5,2753
GEMINI OIL 1LT,23,2749
B L RICE FLOOR,50,2451
GRB 500ML,6,2426
ARIEL FR 2L,5,2325
AVALAKKI,41.5,2271
COMFART 800ML,10,2250
GINGELLY OIL 500,38,2171
W TASTY,36,2135
RUCHI GOLD,22,2114
IND CLASIC,11,2085
KRISHNA 500ML,5,2015
CASHEW FULL,2,1880
DHEEPAM 1LR B,10,1860
RAGI,45.25,1780
ASH ATTA 1KG,27,1757
CHILLI [B],2.4,1744
PEPPER FINE 100G,20,1732
15 LTR SUNPURE,1,1650
GOLD WINNER 1LR,14,1645
MAIDA SPL,33.25,1644
B L RAGI FLOOR,32,1544
BROKEN RAW,40.8,1533.9
WHEEL POWDER 1KG,20,1484
VOM GN,9,1475
B L GFLOOR 500,29,1454
HAMSA RICE,38,1420
BABA LACHKORI,1,1300
IDLY RICE,29.75,1225
AA 10RS,122,1220
CHILLI [G],2.6,1157.75
JEENI 1KG,3,1080
URID GOLA,8.25,1076.5
RED RAW,16,1022
BADAM SEEDS 250G,5,1020
CYCLE 50RS,21,1020
SURF EASY 1KG,6,960
TATA SALT,35,942
FORTUNE OIL,8,938
B GRAM,11,929.5
MUSTARD FINE 100,42,928
ANN.ROCKSALT 1KG,46,915
DRY GRAPES L,2.05,860
SANTOOR 38RS,24,846
MASUR DALL,7.75,831.25
GREEN PEAS,8.3,816
B L BANSI 1KG,14.5,811.5
TAMRAND,5,803.5
DETTOL SOAP S,21,798
RIN SOAP 10RS,81,797.1
RED LABEL 100G,16,790.5
HORSE GRAM,7,782
JEERA LOOSE,1,780
LOBO,6.75,762.5
CASHW FINE 100GM,8,743
MAGGI 12RS,51,730
JAGARRY POWDER,10.31,721.7
B L AVALAKI M,20,720
MY SANDEL SET,3,716
L G POWDER 50GM,9,695
EXO ROUND B,12,686
CHILLI [M],1.85,679.5
TAJ 250G,3,675
JEERA 50GM,16,651
METHI 100G,25,639
ANNAPURNA COFFE,2,630
VANISH B,3,630
ANIL SEMIYA 500G,11,627
MY SANDLE B,9,606
TIDE 1 KG,4,604
NANDINI 1LR,1,600
RED BOILED,12,580
DRY GRAPES 250GM,6,578
MEDMIX B,12,576
SURF XL 35RS,16,559
KABUL,3.75,558.75
MTR JAMUN OFFRR,4,555
JAVE WHEAT,7.5,537.5
RIN BIG BAR,20,535
CASHW 250GM,2,530
FORTUNE MUS OIL,3,530
GRB 200ML B,3,526
APLA 70RS,9,520
RED LABEL NC 250,3,516
BOOST 500G,2,490
HARPIC 500ML,5,489
AASHIRVAD SALT,20,484
SENSODENE 125,4,482
BASMATHI RICE,5,480
COL PASTE 100GM,7,469
WHEEL POWDER 500,12.5,462.5
WHEAT FINE,11,462
PURI 500GM,11,460
ZEERA RICE FINE,4,454
DETTOL SOAP B,6,444
AA CHIKEN 100GM,9,440
JEENI SPL,1,435
3ROSES 250G,2,434
JEERA FINE 250G,2,430
RED LABEL 250G,3,422
SUNRISE 100G,2,420
VVD OIL 500ML,3,420
ANNAPURNA COFFE,7,418
VIM 10 RS,42,418
GRB 500ML B,1,410
HARPIC RED 200,4,409
BOTI LOOSE,2.8,405
B L CHIROTI 500G,14,402
GALA BROOM 210,2,390
3ROSES 500G,1,385
SURF EASY 500G,5,384
OREO 10RS,38,380
PATTA,0.72,376.5
KESAR KLLI,5,375
BROOM DOUBLE,3,370
FAIR N LOVELY 50,3,360
LUX 100GM,10,360
COL PASTE OFFER,2,356
CASHEW JH,0.4,355
DOVE SHAMPO M,2,350
TIDE 500GM,5,350
JOLA,7,350
BLACK STONE 125R,3,350
MTR PULIO 12RS,29,348
AJAY HARD,17,340
MTR PULIOGARE 10,5,340
H&S SHAMPO 2RS,170,340
GOOD DAY 10RS,34,340
MTR CP 100GM,7,337
RED LABEL NC 500,1,332
PONDS SANDLE B,1,330
DARK FANTASY 170,2,330
HIDE N SIKE,11,330
SWA RAVA IDLY 1=,2.5,322.5
P CHUTE 200ML,4,321
AA TP 100GM,11,317
SAFOLA GREEN,2,316
DRY GRAPES 100GM,7,313
ANNAS FLOWER,0.25,312.5
MTR BISIBELE 100,4,312
MTR VANGIBATH 10,4,312
AA GARAM 50GM,9,310
PHENYLE,5,305
AA CP 100GM,9,303
RIN POWDER 1,3,300
NANDINI 500ML,1,300
JAPATRE L,0.1,300
COLIN 500ML,3,300
PANCHAMI OIL 1LB,2,295
DETTOL HAND B,3,290
HORLICKS 500G J,1,287
RED LABEL 500G,1,280
COL SALT 100,4,280
DAR FANTASY 40RS,7,280
HIMALAYA SHAMPO,1,280
VIM 5RS,55,275
POPPEY SEEDS 50G,3,270
HORLICKS 200G (B,2,260
SENSODENE 135RS,2,260
CAMPAR 100RS,5,255
LAVANG L,0.25,255
MADHUR SUGAR,5,250
BADAM SEEDS 100G,3,250
MY SANDEL S,6,249
B L AVALAKI,7,245
AA DP 100GM,8,242
VIJAY IDLY RAVA,5,240
FAIR N LOVELY 11,1,240
AA JEERA PO 50GM,7,240
PEARS SET 230 RS,1,240
PEPPER 50GM,5,237
MOP 240,1,230
AA PEPPER PO 50G,4,230
METHI 250GM,5,230
MARRE GOLD 10RS,23,230
FORTUNE SOYA 200,4,228
SUNRISE 50G,2,224
P CHUTE 300ML,2,224
COMFART 180ML,4,224
MTR RAVAIDLY 1KG,1,220
HIT S,1,220
HORLICKS 500G,1,220
COMFART 4RS,55,220
MTR SEMIYA R 500,4,220
SAIGO,1.75,215
MAGGI 8PACK,2,215
P CHUTE 100ML,6,215
LIZOL 500ML,2,214
PITAMBARI 100G,5,213
MUSTARD 250G,4,212
SOYA CHUNKS 200G,4,210
CAMPAR 150RS,2,210
CLOSE UP 100,4,208
VIM 33RS,7,207
COL BRUSH 20RS,8,203
COPRA,1.005,202.95
BROOM STEEL,2,200
BASMATHI PUALO,2,200
COL PASTE 50GM,10,200
COL MAX 100GM,3,198
SURF XL 22RS,9,198
VIM LIQ 750ML,1,195
HARPIC 1LTR,1,195
JEENI 500G,1,195
G LABLE 500G,1,195
VIJAY RAGI FLOOR,4,194
B L IDLY RAVA,4,194
GRB 100ML,2,192
APLA MASALA 70RS,3,188
DOVE SOAP,3,186
SURF XL FR 1KG,1,185
AVALAKKI 500GM P,2.5,182
PARLE G 10RS,18,180
M MOGGU,0.15,180
3ROSES 100G,2,175
TIDE LIQ TOP,1,170
PEARS BLUE,3,169
KIS JAM 500,1,167
RAVA B PKT,3,166
MAGGI 4PACK,3,165
BARLY 100G,8,160
LIPTON G TEA,1,160
YALAKI 10GM,8,160
FORTUNE RC,1,158
ARIEL TOP 500GM,1,157
SURF XL TOP 1KG,1,155
SURF XL TOP 1LR,1,155
BLACK STONE 55RS,3,155
K DEVAN 500GM,1,154
JAGGARY (H),2.18,152.6
DOSA RICE FINE,5,150
CHIA SEEDS,3,150
MUSTERD LOOSE,1,150
SSP RED 5GM,1,148
KARJURA 250GM,1,145
ANNAPURNA COFFE,1,145
TEU CHIKEN 250,2,140
GIL PRISTO,7,140
MARGO SET,1,140
BOOST 200GM JAR,1,136
MTR SEMIYA 900G,2,136
BAJAJ ALMOND,1,136
ROCKSALT,9,135
TABLE SALT,9,135
PRAKASH TEA 250G,2,134
AA SP 50GM,6,132
GRB JAMUN 1=1,1,130
METHI L,1,130
BROOM BLUE,1,130
MTR RASAM 200G,1,130
ASH CP 100,3,130
VIM SET 130,1,130
PONDS M,1,130
DABUR PASTE 100G,2,130
PEARS BODY L,1,130
SANTOOR 10RS,13,130
MESWAK 100GM,2,130
RED LABELE NC 10,2,128
KLF 500ML,1,124
MTR T POW 100G,4,124
ASH ATTA 2KG,1,122
DRANEX 25,5,121
HMT SONA,2,120
MTR BADAM POW 20,1,120
SWA GARAM 200,2,120
FAIR N LOVELY 25,2,120
SABEENA 500GM,12,120
GODREJ AIR,2,116
PEPSDENT 100GM,2,116
MOTTU,1,115
COMFART 450ML,1,115
COL HERBAL 200,1,114
WHISPER 36RS,3,114
MY SANDEL DOOPA,4,114
VIM TUB 60RS,2,114
WAIPER 120RS,1,110
PALAV MIX 10RS,11,110
CLI SHAMPO 1RS,109,109
HIMALAYA SOAP,2,108
BRU 50G,1,107
KAL HUVA,0.1,102
GRB 50ML,1,100
CYCLE 20RS,5,100
SOUMF 100GM,2,96
MTR SEMIYA 200GM,5,96
AA SP 100GM,2,95
MEDIMEX SET,1,95
LION DATES 250GM,1,95
BROWN RICE,1.5,94
CELL 16RS,6,93
MEDIMIX S,3,93
TAJ 100G,1,92
STEEL SCRUB,7,91
EXO ROUND S,3,90
SCBRITE 15RS,6,90
B TILL 100,3,90
SCBRITE 35RS,3,89
WHEEL SOAP 10RS,9,88.2
TATA PINK SALT,1,88
MY SANDLE GOLD,1,87
WHISPER 88RS,1,85
B L BANSI RAVA,3,84
EV CHIKEN 100,1,82
K DEVAN 250GM,1,82
GAR COLOR BLK PK,2,80
ACT 10RS,8,80
GRAM FLOOR SOAP,2,78
RAVA B,1.5,78
HIMALAYA FACE WA,1,75
VIM LIQ 20RS,4,73.5
MTR RASAM 100G,1,73
PATANJALI SOAP,2,71
TEJU CK 500GM,0.5,70
CYCLE DOOPA 72,1,70
PHENYLE BLACK,1,70
NYLON SAIGO 500G,1,70
TOMOTO SAUCE,1,70
IG PULIOGARE,7,70
W THILL 100G,2,70
POWER SOAP,7,69.8
ANIL RICE 500GM,1,68
K DEVAN 100GM,2,68
MTR DP 100G,2,67
ANIL SEMIYA 200M,3,66
SUNPURE 500ML,1,66
ANNAPURNA ATTA 1,1,65
GARBAGE M,1,65
ARUN TEA 250,1,65
ENO 10RS,7,64
CAMPAR 20RS,6,64
APLA MADURAI,1,60
MTR SEMIYA 500G,1,60
CYCLE 10RS,6,60
BROOM K,1,60
HIMALAYA SOAP 62,1,60
MTR VANGIBATH 10,5,60
SURF 10RS,6,60
COL SALT 20RS,3,60
SCBRITE 10RS,6,60
CASTROIL 200ML,1,60
EV TIKALAL 100,1,58
AIR POCKET,1,58
PICKLE 60RS,1,58
CORN FLOUR,1,55
SWARNA CHAMPA 60,1,55
J SOAP 55RS,1,55
CASTROIL 100ML,1,55
KIS JAM 20RS,3,55
SAIGO 100GM,3,54
VIM LIQ 250ML,1,53
PEARS SOAP B,1,53
AA CHIKEN 50GM,2,50
CORN FLOOR 100GM,2,50
PICKLE 50RS,1,50
BRU 2RS,25,50
B L MAIDA 1KG,1,50
RED LABLE 10RS,5,50
LIFE BOY 10RS,5,50
CHETA MBOX,5,50
SUNRISE 2RS,25,50
VIJAY RICE FLOOR,1,48
GRB TP 100GM,2,48
GRB RASAM 100GM,1,47
MANGALDEEP 50RS,1,46
PARRY SUGAR 1KG,1,45
CAMPOPR 70RS,1,45
YIPPEE 12RS,3,42
EV CHOLE 100,0.5,40
ORAL BRESH 20RS,2,40
OMA 50GM,2,40
HOMELITE,4,40
LAVANG 10GM,2,40
INDICA 20RS,2,36
AA BIRIYANI 50GM,1,35
AA RASAM 50GM,1,35
G LABLE 100G,1,35
LIFE BOY 36RS,1,35
SENSODEBE BRUSH,1,35
VASU BIG,1,35
HAMAM SOAP,1,34.5
CINTOL SOAP SET,1,34
URID BLK,0.25,32.5
GRB DP 100GM,1,30
SWA TP 100GM,1,30
MTR LIME 15RS,2,30
GINGER GARLIC 5R,6,30
