product_name,quantity,amount
OLD SONA,1159,57117
KV GOLD 26KG,35,53375
FREEDOM SF OIL,336,39113
FINE SONA,601,36822
SUNPURE 1LT,217,25316
15 LTR SUNPURE,14,23520
BABA BLK BULET,39,19708
SHIVALING FINE,123.25,18901
SUGAR,422.25,17539
RAW SONA,250,14654
W TASTY,167,9932
ATTA SPL,254,9877
BULLET RICE,125.5,9420
SUPER SONA,161,9060.1
ASH ATTA 10KG.,19,9010
BEST SONA,150,8277
GRB 500ML,18,7306
RUCHI GOLD,76,7125
RAJMOUDI RICE,111,6870
KOLAM OLD,102.5,6749
URID DALL,49.1,6364
ROYAL BULLET 26,5,6250
GEMINI OIL 1LT,52,6178
GINGELLY OIL 1LI,54,6062
GN SEEDS,35.5,5148.25
HMT OLD,73,5098
JAGARRY R,82.23,4707.08
GRAM DALL,52.85,4466.9
DHANIYA FINE,23,3926.25
CHILLI [B],5.25,3704.25
IDLY RICE,86,3550
FORTUNE OIL,30,3514
MOONG DALL,27.65,3458.25
VRT SONA,54,3244
ROYAL SONA,63,3194.5
CHILLI [M],10.15,3151
GINGELLY OIL 500,54,3045
MTR SEMIYA 900G,42,3030
CHILLI [G],6.86,2863.2
GREEN MOONG,20.5,2609.75
B L BANSI 1KG,46.5,2507.5
COTHAS 500G,8,2500
RAVA(M),51.5,2497
COMFART 800ML,11,2475
NANDINI 1LR,4,2391
ARIEL FR 2L,5,2275
ASH ATTA 5KG,7,2083
AVALAKKI,40.75,2024
DOSA RICE (FINE),50.25,1835
FRIED GRAM,20.1,1813.5
15KG SUNPURE TIN,1,1795
ASH ATTA 1KG,26,1698
JEERA FINE 100G,21,1592
PEDI SURE 1KG,1,1590
BALLAR DAL,10,1580
LOBO,15,1547
SPL SONA,28,1544
B GRAM,16.75,1527.75
ARIEL FR 4KG,1,1430
B L RAGI FLOOR,29,1424
SURF XL FR 6KG,1,1420
URID GOLA,11,1418
IDAYAM OIL,3,1410
BADAM SEEDS 250G,7,1365
ANIL SEMIYA 500G,23,1332
B L GFLOOR 500,26,1314
BABA LACHKORI,26,1300
SANTOOR 38RS,37,1299
IND CLASIC,7,1295
DHEEPAM 1LR B,7,1280
WHEAT FINE,31.5,1260
JEERA FINE 250G,7,1232
ANNAPURNA COFFE,4,1175
B L CHIROTI 500G,41,1155
JAVE WHEAT,15,1155
SURF XL 35RS,33,1155
GOLD WINNER 1LR,9,1086
MAIDA SPL,22,1056
GRB 200ML B,6,1055
TIDE 1 KG,7,1054
G FLOUR,12.25,1039
HARPIC 500ML,10,1004
MTR JAMUN OFFRR,7,980
CASHW 250GM,4,980
AA 10RS,95,975
EXO ROUND B,16,917
B L MAIDA 1KG,17.25,890.75
WHEEL POWDER 1KG,12,888
ZEERA RICE FINE,7.5,886.5
CASHW FINE 100GM,9,853
GRB 500ML B,2,830
HORLICKS 500G J,3,830
CYCLE 50RS,17,810
BROKEN RAW,21.83,802.88
PISTA 200GM,2.5,800
H N S SHAMPO 200,4,780
ANNAPURNA ATTA 1,12,772
VIM LIQ 750ML,4,760
PURI 500GM,18,753
KESAR KLLI,10,750
MTR PULIOGARE 10,11,750
LIZOL 500ML,7,744
BOOST 500G,3,725
DAR FANTASY 40RS,18,720
PONNY SPL,11,715
SURF FR 1LR,3,700
