product_name,quantity,amount
KV GOLD 26KG,28,45800
OLD SONA,848.5,45685
RAW SONA,546.5,34830
BULLET RICE,353,25367
SHIVALING FINE,122.6,22411
SUPER SONA,257,15412.1
HMT OLD,204,15066
SUNPURE 1LT,125,14248
BABA BLK BULET,8,13040
ROYAL SONA,222.5,12408
FINE SONA,171.5,11165
SUGAR,225.3,9677.9
ATTA SPL,235,9460
GREEN MOONG,61.5,8416.5
BULLET SONA,130,8148
RAVA(M),164.75,8017
URID DALL,49.856,7304.64
GN SEEDS,44.85,6677.5
ASH ATTA 5KG,22,6625
ASH ATTA 10KG.,12,5795
FREEDOM SF OIL,49,5581
MOONG DALL,41.5,5545
GINGELLY OIL 1LI,50,5393
W TASTY,79,5031
B L GFLOOR 500,88.5,4957.5
JAGARRY R,77.14,4685.68
GRB 500ML,11,4460
GRAM DALL,45.75,4422.5
DHANIYA FINE,22.05,4230.5
5LIT SUNPURE CAN,7,4195
DOSA RICE (FINE),99.5,4097
RAVA(C),80.5,3924
FRIED GRAM,33.05,3631.5
15KG SUNPURE TIN,2,3480
JEERA FINE 100G,41,3455
GINGELLY OIL 500,58,3273
CHILLI [G],7.48,3217.6
JEERA LOOSE,4,3080
BABA LACHKORI,2,2850
IND CLASIC,15,2819
AVALAKKI,48,2784
MADHUR SUGAR,51,2652
B L RICE FLOOR,47,2473
DHEEPAM 1LR B,13,2410
GEMINI OIL 1LT,20,2329
HORSE GRAM,17.85,2297.65
COTHAS 500G,7,2290
GOLD WINNER 1LR,20,2273
AA 10RS,88,2243
CHILLI [M],7.45,2160
B GRAM,21.25,2021.5
JAVE WHEAT,25.5,1915
SUNPURE 2LR,8,1861
RUCHI GOLD,19,1776
BROKEN RAW,40.4,1757.6
B L MAIDA 1KG,32,1733
ASH ATTA 1KG,26,1700
FIONA OIL,15,1604.5
ARIEL FR 4KG,1,1450
KOLAM OLD,21,1428
TAMRAND,8.25,1427.5
WHEEL POWDER 1KG,19,1408
KRISHNA ATTA 5KG,3,1380
RED LABEL NC 500,4,1340
RAGI,29.7,1339.5
RAJMOUDI RICE,15.47,1330.42
ZEERA RICE FINE,11,1271
APLA 70RS,21,1271
MTR SEMIYA 900G,18,1268
B L RAGI FLOOR,25,1260
NANDINI 1LR,2,1255
HARPIC 500ML,13,1249
SANTOOR 38RS,36,1246.5
CASHEW JH,1.4,1241
VIM 33RS,39,1169
COL PASTE 100GM,17,1150
MTR JAMUN OFFRR,8,1120
B L BANSI 1KG,20,1107
TATA SALT,40,1078
IDLY RICE,24,1074
CHILLI [B],1.5,1069
POPPY SEEDS 100G,5.5,1067.5
ARIEL FR 2L,3,1060
ANIL RICE 500GM,14,1050
FREEDOM 10LR,4,1040
YALAKI FINE,0.425,1040
SURF XL 35RS,28,980
ANIL SEMIYA 500G,17,969
MUSTARD FINE 100,39,965
MY SANDEL SET,4,940
BADAM SEEDS 250G,5,940
CASHEW FULL,1,940
RED RAW,14,937
TIDE 1 KG,6,930
MTR CP 100GM,20,918
COMFART 800ML,4,900
URID GOLA,6,898
MASUR DALL,8.75,885
3ROSES 250G,4,868
SURF FR 1LR,5,860
B L CHIROTI 500G,29,838
RIN POWDER 1,8,833
GALA BROOM 210,5,810
BULLET 10KG,1,800
AA SP 100GM,12,800
KRISHNA 500ML,2,798
SAFOLA GOLD,5,790
AMRUTHAM OIL 1LR,3,780
VIM LIQ 750ML,4,775
ANN.ROCKSALT 1KG,38,760
MY SANDEL S,18,747.5
BABY CASHW,1.5,705
TAJ 250G,3,699
SOUMF 100GM,14,698
B L AVALAKI M,17,684
CASHW FINE 100GM,7,659
