product_name,quantity,amount
OLD SONA,593,31817
SUNPURE 1LT,228,26070
KOLAM OLD,336,22738
SHIVALING FINE,102.95,18538
FINE SONA,280.5,18178.5
RAW SONA,282.5,17950
W TASTY,236.5,15350
BULLET RICE,193,14647
HMT OLD,177,12956
SUGAR,289.25,12185.75
ATTA SPL,283.5,11358
FREEDOM SF OIL,99,11259
SUPER SONA,163.3,9979.6
ROYAL SONA,136,7517.5
ASH ATTA 10KG.,14,6850
GN SEEDS,43.85,6706.8
NANDINI 1LR,10,6380
URID DALL,37.5,5181.95
10KG SPOORTHI,8,5140
INDIA GATE DUBAR,40,5120
GINGELLY OIL 1LI,46,4980
JAGARRY R,82.19,4927.2
5LIT SUNPURE CAN,8,4810
BEST SONA,82,4680
COTHAS 500G,13,4350
ARIEL FR 4KG,3,4220
ASH ATTA 5KG,14,4096
GINGELLY OIL 500,71,4075
GEMINI OIL 1LT,35,4050
MOONG DALL,29.7,3978.4
GRAM DALL,40.15,3897.8
JEERA FINE 100G,44.5,3755
RAVA(M),74,3562
GOLD WINNER 1LR,30,3424
DOSA RICE (FINE),81.5,3335
BULLET SONA,53.5,3103
WHEAT FINE,70.1,3100.4
CHILLI [B],4.25,2969
JAVE WHEAT,42,2940
GRB 500ML,7,2855
DHEEPAM 1LR B,15,2815
10KG BABA GOLD,4,2600
FRIED GRAM,23.75,2504.75
IDLY RICE,52.25,2343
SURF XL FR 6KG,2,2280
NANDINI 500ML,7,2235
GREEN MOONG,14.85,2091
CHILLI [G],4.8,2062.5
AVALAKKI,33.5,1940
B L RAGI FLOOR,38,1930
DHANIYA FINE,9.8,1823
PEDI SURE 1KG,1,1720
IND CLASIC,9,1705
RUCHI GOLD,18,1681
YALAKI FINE,0.635,1636.5
15 LTR GOLDWINNE,1,1630
SUNPURE 2LR,7,1621
15 LTR SUNPURE,1,1600
BABA BLK BULET,1,1600
BROKEN RAW,38,1598
ANNAPURNA COFFE,5,1575
PEPPER FINE 100G,17,1506
POPPY SEEDS 100G,8,1490
CASHW FINE 100GM,15.5,1472.5
JEENI 1KG,4,1440
B GRAM,15.15,1435.15
TAMRAND,8.25,1423.75
WHEEL POWDER 1KG,19,1406
LAVANG L,0.95,1398.5
ANIL SEMIYA 500G,23,1391
ARIEL FR 2L,3,1380
AMRUTHAM OIL 1LR,6,1356
JEERA LOOSE,1.7,1305
ZEERA RICE FINE,11,1290.5
KLF 500ML,11,1286
RED LABEL 100G,23,1242
TIDE 1 KG,8,1240
B L BANSI 1KG,22.5,1237
GRB 200ML B,7,1227
B L RICE FLOOR,24,1218
KRISHNA 500ML,3,1196
MTR SEMIYA 900G,17,1195
SURF FR 1LR,7,1190
FIONA OIL,11,1187
MASUR DALL,11.15,1136.25
JEERA FINE 250G,5,1110
AA 10RS,106,1104
CYCLE 50RS,22,1080
MTR PULIOGARE 20,8,1070
URID GOLA,7.5,1058
FORTUNE OIL,9,1028
B L GFLOOR 500,19.5,990
ASH ATTA 1KG,15,967
VIM 33RS,31,966.5
B L MAIDA 1KG,17.8,911
COMFART 800ML,4,900
DOMEX TOILET,5,900
DOVE SOAP,14,882
RED LABEL 250G,6,873
SURF TP 1LR,6,870
ANN.ROCKSALT 1KG,43,856
B L CHIROTI 500G,30,854
CHILLI [M],2.45,846.5
P CHUTE 200ML,11,841
VANISH B,4,840
SUNRISE 2RS,418,836
MTR CP 500G,4,835
COTHAS 200G,6,815
COMFART 450ML,7,813
VOM GN,5,810
RIN POWDER 1,8,809
HARPIC 500ML,8,774
BADAM SEEDS 100G,9,761
MUSTARD FINE 100,31,758
ANNAPURNA COFFE,12,756
CASHW 250GM,3,755
W THILL 100G,23,755
POPPEY SEEDS 50G,8,745
MTR T POW 100G,23,736
GARBAGE M,9,720
JAPATRE L,0.25,700
SURF XL 35RS,20,697.1
AASHIRVAD SALT,25,672
LOBO,5.1,669.25
ULLAS 60RS,12,666
SOYA CHUNKS 200G,12,655
3ROSES 250G,3,651
VIM 10 RS,64,639.6
NYLON SAIGO 500G,9,630
TATA SALT,23,621
RIN BIG BAR,24,595
DRY GRAPES 100GM,13,586.5
TIDE POWDER 6KG,1,575
GALA BROOM 210,3,575
SENSODENE 195,3,570
VIM LIQ 750ML,3,570
GRB 100ML,6,570
COL PASTE 100GM,9,568
KABUL,3.05,565.75
MTR JAMUN OFFRR,4,560
BROOM BLUE,4,560
FORTUNE MUS OIL,3,550
IDAYAM OIL,1,548
ARIEL TP 1KG,2,530
WHEEL POWDER 500,14,530
APLA 70RS,9,525
