product_name,quantity,amount
OLD SONA,587.25,30697.55
SHIVALING FINE,119.25,20878.75
KOLAM OLD,284.34,19530.12
KV GOLD 26KG,12,19380
BEST SONA,309.5,17951
SUNPURE 1LT,152,17553
FINE SONA,208.75,13295
SUPER SONA,200.35,12011
BULLET RICE,151,11504
SUGAR,203,8350.5
RAW SONA,131,8063
BABA BLK BULET,5,7740
FREEDOM SF OIL,60,6932
ATTA SPL,169.9,6787
ASH ATTA 10KG.,13,6365
GINGELLY OIL 1LI,55,6069
HMT OLD,84.25,6060.5
GN SEEDS,38.55,5768.2
BULLET SONA,101,5748.8
URID DALL,42.05,5506
GRB 500ML,13,5310
CHILLI [B],7.2,5290
IDLY RICE,117,5156.5
GOLD WINNER 1LR,42,4924
COTHAS 500G,13,4345
MOONG DALL,33.5,4285
JAGARRY R,72.325,4222.86
ROYAL SONA,75,4115
GRAM DALL,40.85,3901.95
10KG BABA GOLD,6,3850
PONNY SPL,55.8,3627
ASH ATTA 5KG,12,3547
FRIED GRAM,30.505,3206.53
CHILLI [G],7.1,3170.5
GREEN MOONG,23.005,3143.23
RAVA(M),65,3139
JEERA FINE 100G,36,3088
POPPY SEEDS 100G,16,3005
B GRAM,31.15,2930.6
ARIEK TOP 6KG,2,2725
DOSA RICE (FINE),65.5,2712
GINGELLY OIL 500,46,2700
SUNPURE 2LR,11,2535
NANDINI 1LR,4,2535
DHEEPAM 1LR B,13,2445
GEMINI OIL 1LT,20,2421
AVALAKKI,41.5,2323
NANDINI 500ML,7,2230
AA 10RS,155,2115
W TASTY,31.5,2034
RAJMOUDI RICE,29,2004
CASHW FINE 100GM,21,1981
RED GOLD 1KG,4,1920
FIONA OIL,17,1905
ANNAPURNA COFFE,6,1900
B L RAGI FLOOR,37,1836
URID GOLA,13.5,1790
15KG SUNPURE TIN,1,1740
KABUL,9.45,1736
PEDI SURE 1KG,1,1720
JEERA LOOSE,2.05,1719
LAVANG L,1.145,1685.25
KOLOM ST RICE,26,1644.5
RUCHI GOLD,17,1643
BROKEN RAW,41.7,1642
COPRA,8.15,1627.85
B L RICE FLOOR,35.5,1575
VOM GN,10,1566
DHANIYA FINE,8.5,1520
CHILLI [M],4.2,1511
ASH ATTA 1KG,23,1495
LOBO,11,1456.5
COMFART 800ML,6,1345
B L BANSI 1KG,24,1335
HORSE GRAM,10.25,1313.75
10KG SPOORTHI,2,1300
PEPPER FINE 100G,14,1276
MY SANDLE B,19,1254
WHEEL POWDER 1KG,17,1250
MAIDA SPL,30.5,1237.5
5LIT SUNPURE CAN,2,1230
KRISHNA 500ML,3,1230
SANTOOR 38RS,35,1210
SAIGO,8.25,1198.5
RED LABEL 100G,23,1197.5
VIM 33RS,38,1150.5
MTR SEMIYA 900G,15,1115
B L GFLOOR 500,22,1105
FORTUNE OIL,9,1074
B L MAIDA 500GM,39,1058
LIFE BOY 36RS,29,1054
DETTOL SOAP B,16,1040
TETLEY G TEA,6,996
MASUR DALL,9.255,980.53
WHEAT FINE,21.75,978.75
TATA SALT,36,976
RED RAW,15.5,967.5
GRB 100ML,10,964
COL PASTE OFFER,5,950
MUSTARD FINE 100,39,947
VIM LIQ 750ML,5,945
HARPIC 500ML,9,899
JAGGARY (H),14.665,888.4
TAMRAND,4.95,856.5
JEERA FINE 250G,4,840
RIN BIG BAR,32,783
HARPIC 1LTR,4,765
MTR T POW 100G,25,762
MTR JAMUN OFFRR,5.5,760
KESAR KLLI,10,760
MAGGI 12RS,54,756
MAGGI 8PACK,7,753
PATTA,1.6,732.5
JEENI 1KG,2,720
FORTUNE RC,5,718
POPPEY SEEDS 50G,8,715
ASH MULTI 5KG,2,710
BLACK STONE 125R,6,710
RAVA(C),14,710
ZEERA RICE FINE,6,706.5
RAGI,15.5,698.75
YALAKI FINE,0.24,696
RED LABEL NC 250,4,689
MEDMIX B,14,672
B TILL 100,19.5,666.5
BLACK STONE 55RS,13,663
W THILL 100G,19,663
DRY GRAPES 100GM,14.5,653.5
3ROSES 250G,3,651
LIZOL 500ML,6,642
PISTA 200GM,2,630
ANIL SEMIYA 500G,11,629
PHENYLE,10,620
METHI 100G,26,620
MTR PULIOGARE 10,9,618
SURF XL 22RS,28,611
ULLAS 60RS,11,606
APLA 70RS,10,600
RIN POWDER 1,6,600
PEPPER LOOSE,0.75,585
SENSODENE 125,5,584
VIM TUB 60RS,10,573
TAJ 100G,6,558
MUSTERD LOOSE,3,555
