SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/08/2023-31/08/2023,,
,,
Product Name,Qty.,Amount
,,
KV GOLD 26KG,61,95600
SHIVALING FINE,379.5,61016.25
HMT OLD,567.5,40458
OLD SONA,774.5,38956.5
SUNPURE 1LT,303,35556
BEST SONA,401.2,23093.6
SUGAR,465.05,18680.4
FINE SONA,284.25,18023
RAW SONA,298,17920
BABA BLK BULET,10,15300
BULLET RICE,187,14185.5
GN SEEDS,96.7,14120
ASH ATTA 10KG.,24,11750
ROYAL SONA,219,11735
ATTA SPL,225,8732
FREEDOM SF OIL,69,8202
GREEN MOONG,64.5,8085.5
URID DALL,62.25,7870.25
GRB 500ML,19,7723
JAGARRY R,122.41,7161.96
MOONG DALL,49.75,6227.75
GINGELLY OIL 1LI,57,6207
AVALAKKI,108,6133.5
GRAM DALL,68.85,6072
SUPER SONA,101.6,5957
PONNY SPL,89,5807
URID GOLA,42.7,5548.5
CHILLI [B],7.4,5368.5
KESAR KLLI,70,5310
KOLAM OLD,74.4,5059.2
RAVA(M),101.25,4894.5
RAJMOUDI RICE,72.87,4869.91
FRIED GRAM,49.05,4835.8
W TASTY,70.5,4694.5
COTHAS 500G,14,4680
BULLET SONA,77,4620
ASH ATTA 5KG,15,4392
DHEEPAM 1LR B,22,4060
GOLD WINNER 1LR,32,3758
JEERA FINE 100G,43,3656
NANDINI 1LR,6,3630
IDLY RICE,79,3480
15 LTR SUNPURE,2,3380
CHILLI [G],7.15,3223
B L GFLOOR 500,62,3219
WHEAT FINE,67.75,2991.5
GINGELLY OIL 500,50,2901
POPPY SEEDS 100G,15,2750
B L RAGI FLOOR,55,2726
GEMINI OIL 1LT,22,2702
B GRAM,30.6,2691.25
PEPPER FINE 100G,30,2623
CASHW FINE 100GM,25,2374
ARIEL FR 2L,5,2355
RAGI,52.6,2340.9
BROKEN RAW,60,2298
DOSA RICE (FINE),56.6,2296
CASHW 250GM,9,2220
AMRUTHAM OIL 1LR,9,2205
JEERA LOOSE,2.6,2168
NANDINI 500ML,7,2106
JAVE WHEAT,28,1995
10KG BABA GOLD,3,1920
MTR SEMIYA 900G,27,1900
5LIT SUNPURE CAN,3,1890
15 LTR GOLDWINNE,1,1870
DHANIYA FINE,10.35,1868
15KG SUNPURE TIN,1,1855
COMFART 800ML,8,1800
PEDI SURE 1KG,1,1695
RUCHI GOLD,17,1670
B L CHIROTI 500G,57.5,1660
ASH ATTA 1KG,25,1610
LOBO,13,1568.75
HORSE GRAM,12.5,1520.75
TATA SALT,56,1509
B L BANSI 1KG,27,1497
COPRA,7.59,1480.15
BADAM SEEDS 250G,7,1475
AA 10RS,144.5,1475
ANN.ROCKSALT 1KG,73,1454
COL PASTE 100GM,21,1417
MY SANDEL SET,6,1417
ARIEL FR 4KG,1,1395
ARIEK TOP 6KG,1,1375
TAMRAND,8.35,1363
SURF XL TOP 6KG,1,1350
MTR JAMUN OFFRR,9,1290
ANNAPURNA COFFE,4,1265
ANIL SEMIYA 500G,22,1260
WHEEL POWDER 1KG,16,1186
YALAKI FINE,0.47,1171
MADHUR SUGAR,24,1145
JAGGARY (H),18.28,1134.22
B L MAIDA 1KG,22,1134
CHILLI [M],3.15,1128.25
B L RICE FLOOR,22.5,1119
SANTOOR 38RS,32,1111
RIN POWDER 1,11,1100
JEENI 1KG,3,1095
MAIDA SPL,23,1085
KABUL,7,1062.25
GRB 200ML B,6,1055
CASHEW JH,1.18,1053.1
RED LABEL 100G,20,989.5
FORTUNE OIL,8,966
MTR T POW 100G,31,954
RED GOLD 1KG,2,950
VOM GN,6,936
MUSTARD FINE 100,41,914
TIDE 1 KG,6,890
DRY GRAPES 250GM,9,888
CYCLE 50RS,17,873
SUNRISE 100G,4,852
GRB 500ML B,2,825
P CHUTE 1LR,2,820
MTR BADAM POW 50,3,810
MASUR DALL,7.75,804.5
GREEN PEAS,7.25,791.5
HARPIC 500ML,8.5,774
RIN SOAP 10RS,78,768.4
SAFOLA GOLD,5,760
GARBAGE M,10,746
SURF XL 35RS,21,735
MTR CP 100GM,16,729
BROOM GALA,5,725
ANNAPURNA COFFE,12,725
POPPEY SEEDS 50G,8,725
ASH MULTI 5KG,2,713
APLA 70RS,12,710
LAVANG L,0.475,708.75
3ROSES NC 250G,3,708
MY SANDEL S,17,705.5
P CHUTE 600ML,3,700
ZEERA RICE FINE,6,699
TIDE POWDER 6KG,1,695
EXO ROUND B,12,684
B L MAIDA 500GM,25.5,681
DABUR HONET 500G,3,675
DRY GRAPES 100GM,14.5,674.5
APLA MASALA 70RS,11,660
WALNET 200GM,2,660
SAIGO,5,660
VIM 33RS,21,652.5
AASHIRVAD SALT,25,650
B L IDLY RAVA,13,648
SURF EASY 1KG,4,640
JEERA FINE 250G,3,630
L G POWDER 50GM,8,630
ANNAPURNA COFFE,4,623
LIZOL 1LR,3,618
HARPIC RED 200,6,612
HARPIC 1LTR,3,610
LIPTOM TEA 100BA,1,600
B L AVALAKI M,15,583
GRB 100ML,6,575
RED LABEL 250G,4,567
VIM 10 RS,57,566
MESWAK OFFER,3,560
P CHUTE 300ML,5,558
W THILL 100G,15,538
PICKEL 1KG,4,535
COL PASTE 200GM,3,520
RED LABEL NC 250,3,516
SURF XL FR 1KG,2,485
AA CHIKEN 100GM,10,475
KLF 500ML,4,470
PURI 500GM,11,470
FORTUNE RC,3,466
BLACK STONE 55RS,9,464
COL PASTE 50GM,23,460
DABUR PASTE 100G,7,457
PEARS SOAP B,8,454
KARJURA 250GM,3.45,446.25
HORLICKS 500G,2,445
FIONA OIL,4,440
BASMATHI PUALO,4,440
DAR FANTASY 40RS,11,440
TIDE 500GM,6,437
AA GARAM 50GM,12,423
AA CHIKEN 10RS,42,420
VANISH B,2,420
COL SALT 100,6,420
RIN BIG BAR,17,417.5
TAJ 500G,1,410
WHEEL POWDER 500,11,410
MTR PULIOGARE 10,6,407
MARRE GOLD 1KG,3,405
SURF 2LR TP,1,400
KRISHNA 500ML,1,398
LUX 100GM,11,396
SURF 2L FR,1,390
BROOM K,7,388
BALLAR,2.102,387.61
ANJURA,1,385
3ROSES 500G,1,385
METHI 100G,16,384
MARRE GOLD 10RS,38,380
COL PASTE OFFER,2,380
AVALAKKI 500GM P,5,378
PARLE G 10RS,40,377
PEARS SET 340,1,370
CLOSUP OFFER,2,370
FORTUNE MUS OIL,2,365
MUSTARD 250G,7,364
DOVE SHAMPO M,2,360
DABUR PASTE 200G,3,359
SENSODINE 180,2,350
VIM TUB 60RS,6,347
PISTA 200GM,1,345
COMFART 450ML,3,345
RAVA B,8,344
TETLEY G TEA,2,330
MAGGI 8PACK,3,330
BADAM SEEDS 100G,4,330
JAGARY BUCKET,5,325
JAGARRY POWDER,5,325
FORTUNE SOYA 200,6,325
DETTOL SOAP B,5,325
SURF XL 500GM,3,321
HMT SONA,5,320
ARIEL 500GM,4,314
SWA RAVA IDLY 1=,2.5,312.5
MTR VANGIBATH 10,4,312
SUNRISE 2RS,155,310
CLI SHAMPO 1RS,306,306
PHENYLE BLACK,5,305
W TILL LOOSE,1,300
P CHUTE 200ML,4,300
T.STICKS,1.2,291.25
DETTOL SET,2,290
SAFOLA GREEN,2,290
