 SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/12/2023-31/12/2023,,
,,
Product Name,Qty.,Amount
,,
OLD SONA,769,42477
FINE SONA,461.8,31074.4
15 LTR SUNPURE,13,21390
SHIVALING FINE,116.05,20662.75
BULLET SONA,318.5,20560.5
HMT OLD,243,18266
RAW SONA,265,17206
SUNPURE 1LT,125,14224
BULLET RICE,172,13520
SUGAR,301.4,12819.7
SUPER SONA,188,11972
GINGELLY OIL 1LI,81,8696
BABA BLK BULET,5,8250
ROYAL SONA,144,8163
ATTA SPL,195.5,7770
CHILLI [B],11.62,7566.85
URID DALL,50.25,7375
FREEDOM SF OIL,55,6275
GEMINI OIL 1LT,53,6174
KOLAM OLD,81,5811
ASH ATTA 10KG.,11,5621
10KG BABA GOLD,8,5300
GN SEEDS,33.9,5050.7
JEERA FINE 100G,55,4570
JAGARRY R,75.045,4557.16
NANDINI 1LR,7,4445
RAVA(M),90.5,4387
AA DP 500GM,36,4320
AA 10RS,118,4190
GRAM DALL,42.5,4097.5
BROKEN RAW,93.5,4064
GRB 500ML,10,4055
YALAKI FINE,1.81,4007.75
COTHAS 500G,12,3971
JEERA LOOSE,6,3790
ASH ATTA 5KG,12,3725
RAGI,82.25,3702.5
GINGELLY OIL 500,65,3626
FRIED GRAM,31.25,3442
SWA GARAM 1,4,3320
AMRUTHAM OIL 1LR,13,3145
DOSA RICE (FINE),70.63,3072.85
MOONG DALL,22.5,3025.25
FIONA OIL,28,3024
GOLD WINNER 1LR,26,2972
CHILLI [G],6.67,2883.4
BTC GOLD 10KG,3,2880
B L RAGI FLOOR,52.5,2836.5
ARIEL FR 4KG,2,2830
AVALAKKI,47.5,2749
GREEN MOONG,19,2609
CASHW FINE 100GM,27,2537
CASHEW JH,2.725,2299.25
RAJMOUDI RICE,25.25,2291.5
FREEDOM 10LR,2,2290
LAVANG L,1.8,2176
ANN.ROCKSALT 1KG,114,2129
DHEEPAM 1LR B,11,2090
MTR CP 500G,12,2070
NANDINI 500ML,6,1915
15KG DHEPA OIL,1,1880
PATTA,4.9,1878.25
ASH ATTA 1KG,28,1845
URID GOLA,12.4,1844.7
JAVE WHEAT,20,1800
PEDI SURE 1KG,1,1720
FORTUNE OIL,14,1654
W TILL LOOSE,5.5,1650
KV GOLD 26KG,1,1650
KRISHNA 500ML,4,1625
