SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/02/2023-28/02/2023,,
,,
Product Name,Qty.,Amount
,,
BEST SONA,719.75,36981
HMT SPL,415,28451
VRT SONA,479.5,27749
SUNPURE 1LT,184,26670
SHIVALINGA DAL,156.8,19688
BULLET SONA,326,14998
RUCHI GOLD,139,14067
RAW SONA,237,13321
KOLAM OLD,175,11348
SUPER SONA,219.5,11305.5
SUGAR,272.8,10622.5
A ONE SONA,194,10528
BULLET RICE,142.75,10378.5
HMT,175,10074
GN SEEDS,65.25,9376.75
ASH ATTA 10KG.,19,9210
SPL SONA,168,8951
15 LTR SUNPURE,4,8320
URID DALL,67.45,8157.5
CHILLI [B],15.3,7918
FINE SONA,135,7462
GINGELLY OIL 1LI,56.5,6779.5
GOLD WINNER 1LR,45,6619
MOONG DALL,51.75,5968.25
BROKEN RICE RAW,167.5,5926
JAGARRY R,91.665,5466.1
AVALAKKI,105.95,5243.5
PONNY SPL,80.99,5241.35
ATTA SPL,128.5,5134
CHILLI [G],14.22,4745.2
NANDINI 1LR,8,4640
DHANIYA,27.08,4572.85
RAVA(M),90.75,4360
TABLE PAPER,30,4350
FRIED GRAM,45.95,4134.5
WHEAT FINE,94,4096
GRAM DALL,47.7,3876.75
CASHEW JH,3.85,3291.5
VOM GN OIL 1LT,20,3185
CHILLI [M],10.1,3049
5LIT SUNPURE CAN,4,3045
ASH ATTA 5KG,10,2990
TOMOTO SAUCE,73,2790
VOM 15KG,1,2760
G FLOUR,35.1,2718
GINGELLY OIL 500,42.5,2706.5
IND CLASIC,15,2700
JEERA 100G,49,2448
AA CP 500GM,13,2333
URID GOLA,18.25,2206.5
15KG DHEPA OIL,1,2180
JOLA,47.25,2121.5
GREEN MOONG,19.25,2113
PEPPER 100GM,25.5,1889
GEMINI OIL 1LT,12,1887
MAIDA SPL,39.25,1868
B GRAM,23.15,1839.5
OFFER 1700,1,1800
RAGI,44.5,1740.25
PAVAN RICE 30KG,1,1710
RAJMOUDI RICE,27.15,1629
MY SANDEL SET,7,1625
BADAM SEEDS,2.3,1612
IDLY RICE,36.5,1580.5
RAVA(C),33.25,1554
NANDINI 500ML,5,1500
RAVA B,31,1487
SUN PREMIUM 1LR,10,1480
AASHIRVAD SALT,56,1440
ASH ATTA 1KG,22,1405
PEPPER LOOSE,2,1365
TAMRAND,8.27,1334.95
WHEEL POWDER 1KG,18,1332
DHEEPAM 1LR,7,1320
TIDE 1 KG,9,1295
JEERA LOOSE,2.8,1258.5
DRY GRAPES,3.45,1216.75
GRB 500ML,3,1210
10KG B L RICE,2,1130
HORSE GRAM,11.85,1123.25
RED LABEL 250G,8,1120
ARIEL FR 4KG,1,1100
POPPY SEEDS 100G,6,1040
B L RAGI FLOOR 1,22,1035
VIJAY IDLY RAVA,21,974
APLA 70RS,16,960
VIM 10 RS,95,949
HARPIC 500ML,10,947
B L GFLOOR 500,20,941
LOBO,8.85,935.75
RED BOILED,18,886
ANN.ROCKSALT 1KG,44,880
POPPEY SEEDS 50G,10,845
KABUL,5.1,844
AA DP 500GM,6,840
LONG BODY,24.5,835
GRB 500ML B,2,820
PURI 500GM,21,820
PATTA,1.87,813.25
VIJAY RICE FLOOR,17,790
MUSTARD 100G,39,782
K DEVAN 500GM,5,770
5LR GOLD WINNER,1,766
DOSA RICE (FINE),22,766
YALAKI,0.4,760
GRB 200ML B,4,700
SURF 10RS,67,667
GREEN PEAS,6.1,662.25
JEERA 250G,6,651
COL PASTE OFFER,4,643
TIDE 500GM,9,634
JAGARY BUCKET,9,630
VVD OIL 500ML,5,624
10KG BABA GOLD,1,620
L G POWDER 50GM,8,618
COPRA,3.115,613.8
LIZOL 500ML,6,609
AMRUTHAM OIL 500,5,590
TEJU 500GM,4,560
MEDIMEX SET,6,555
AA CHIKEN 100GM,13,553
ANIL SEMIYA 500G,10,550
10KG SPOORTHI,1,550
FAIR LOVELY 80GM,3,546
MY SANDEL S,13,539.5
METHI 100G,27,530
SANTOOR 38RS,15,525
DALDA 1LR,4,520
RED LABEL NC 250,3,514
MTR SEMIYA 900G,6,510
BALLAR DAL,3,510
FORTUNE RC,3,504
SWA RAVA IDLY 1=,4,495
MASUR DALL,4.4,484
FAIR N LOVELY 50,4,480
RIN SOAP 10RS,48,474.8
SURF EASY 1KG,3,465
MTR JAMUN OFFRR,3.5,455
P CHUTE 200ML,6,455
SOYA SAUCE,19,452
ARIEK FR 2KG,1,450
COFFE GLASS,10,450
JAGGARY (H),7.535,448.1
LAVANG,0.485,446.5
H&S SHAMPO 2RS,223,446
SH CHIKEN,11,440
FORTUNE 10KG,1,440
RED LABEL 100G,10,440
B L AVALAKI,11,440
LUX 100GM,12,432
PICKLE 50RS,9,432
SURF XL TOP 1,2,430
WHEEL SOAP 10RS,44,429.4
NEWS PAPER,6,420
BRU 500G,1,415
BALLAR,2.85,413.25
TATA SALT,15,405
DOMEX TOILET,2,400
GRB 100ML B,4,400
TASTING POWDAR,2,400
SURF XL 20RS,18,396
PEPPER 50GM,9,393
MTR PULIOGARE 20,3,390
SWA DP 500GM,3,385
KRISHNA 500ML,1,385
SANTOOR SET 120R,3,385
SAIGO,3.8,385
COL PASTE 100GM,6,381
GRB TP 100GM,13,376
PEARS SOAP B,7,371
COCONUT POWDER,2,370
SWA GARAM 200,6,370
SURF LIQ 2L F,1,360
JEENI 1KG,1,360
W THILL 100G,12,360
AA 10RS,36,360
WATER GLASS,5,350
B L MAIDA 1KG,6.5,335
AA SP 500GM,2,330
AA TP 500GM,3,330
AVALAKKI (P),5.5,330
CYCLE 50RS,7,329
MADHUR SUGAR,7,325
CLI SHAMPO 1RS,324,324
CONTNENTEL 200GM,1,320
PICKELE 5KG,1,320
VIJAY RAGI FLOOR,7,318
MAGGI 8PACK,3,315
SURF EASY 500G,4,304
ANNAPURNA ATTA 5,1,290
AKAR ROCK SALT,16,288
GRB 100ML,3,288
GANESH DALL,2.43,286.74
MUSTERD LOOSE,2,282.5
TATA GOLD 250G,2,280
JAGARRY POWDER,4,280
SURF XL 35RS,8,278.4
TAJ 100G,3,276
JEERA 50GM,11,276
ANIL SEMIYA 200M,12,276
SABEENA 500GM,25,275
EV CHANNA MASALA,3,270
DABUR PASTE 100G,4,262
AA CP 100GM,7.5,262
DOVE SHAMPO 2RS,130,260
MTR RASAM 200G,2,260
SOUMF 50GM,7,260
MY SANDL LIQ,2,250
BARLY 100G,11,245
ANNAS FLOWER,0.25,245
AMRUTHAM OIL 1LR,1,245
CHILLY (R),0.5,240
PEARS SET 340,1,240
B L MAIDA 500GM,8,240
GRB 50ML,5,240
DOSA RICE FINE,8,240
CORN FLOUR,4,240
URID BLK,2,240
ZEERA RICE FINE,2,235
RIN POWDER 10RS,24,228
P CHUTE 600ML,1,225
MTR SEMIYA 500G,5,225
COMFART 800ML,1,225
