 SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/01/2023-31/01/2023,,
,,
Product Name,Qty.,Amount
,,
BULLET SONA,1858,77384
BEST SONA,1041.5,52920
SUNPURE 1LT,169,25319
SUPER SONA,449,22862
FINE SONA,371.5,20191
SPL SONA,371,19693
KOLAM OLD,288.5,18643.3
RUCHI GOLD,181,18485
BULLET RICE,248.25,17496.5
GOLD WINNER 1LR,106,16173
SHIVALINGA DAL,129.5,16138
SUGAR,399.35,15385.9
VRT SONA,255,15030
HMT SPL,204.5,14092
MOONG DALL,125.9,13579.55
15 LTR SUNPURE,6,12660
HMT,209,11550
GN SEEDS,75.55,10985.25
BROKEN RICE RAW,307.25,10819
A ONE SONA,160.5,8666
5LIT SUNPURE CAN,10,7820
ATTA SPL,178.7,6974
KESAR KALI RICE,95,6905
RAJMOUDI RICE,109.5,6679
WHEAT FINE,150.15,6369.1
PONNY SPL,91.5,5737
URID DALL,46.7,5594
GINGELLY OIL 1LI,45,5530
OFFER 1700,3,5300
ASH ATTA 10KG.,11,5270
JAGARRY R,83.94,5009.42
CHILLI [G],13.23,4926.4
CHILLI [M],15.23,4787
RAVA(M),100.5,4752
DHANIYA,24.95,4396
KABUL,25.75,4224.25
GRAM DALL,47.3,3955
FRIED GRAM,42.7,3912.75
CHILLI [B],6.71,3910.7
ASH ATTA 5KG,13,3880
URID GOLA,29.5,3546.5
CASHEW JH,4.18,3528.75
JEERA 100G,67,3397
MAIDA SPL,67.75,3202
AVALAKKI,63.75,3116.5
10KG BABA GOLD,5,2860
GREEN MOONG,26.25,2857.5
GINGELLY OIL 500,43,2778
VOM 15KG,1,2710
BASMATHI PUALO,29.25,2627.5
VOM GN OIL 1LT,16,2585
SURF XL TOP 6KG,2,2575
FREEDOM SF OIL,17,2566
RED BOILED,50.75,2486.5
PEPPER 100GM,32,2420
5LR GOLD WINNER,3,2390
GANESH DALL,19.35,2375.5
RAVA B,48.75,2322.5
NANDINI 1LR,4,2300
RAW SONA,38.5,2162.5
IND CLASIC,10,2160
COPRA,9.46,1994.45
RAGI,50.15,1971.2
GN SEEDS R,10.05,1809
NANDINI 500ML,6,1785
5LR FORTUNE,2,1705
POPPY SEEDS 100G,10,1650
JAGARY CUT,13.8,1628.5
G FLOUR,22.45,1627.25
GRB 500ML,4,1595
GRB 200ML B,9,1570
AASHIRVAD SALT,59,1512
JEENI 1KG,4,1440
TAMRAND,8.95,1439
ASH ATTA 1KG,22,1430
DHEEPAM 1LR,7,1310
B GRAM,16.25,1305
MUSTARD 100G,64,1282
JOLA,28.4,1274.4
JAGGARY (H),20.54,1267.4
ANN.ROCKSALT 1KG,64,1255
ROYAL SONA,25,1250
IDLY RICE,30,1226
MASUR DALL,11,1195
NY THILL 250G,17,1180
LONG BODY,34.9,1176.6
BADAM SEEDS,1.6,1127.5
LOBO,10.15,1111.5
AA CP 500GM,6,1068
VIM 5RS,218,1052.2
ZEERA RICE FINE,9,1045.5
APLA 70RS,18,1035
SURF EASY 1KG,6.5,1007.5
URID BLK,8.25,990
HORSE GRAM,11.1,941.25
DRY GRAPES,2.65,938.5
POPPEY SEEDS 50G,11,935
JAGARY BUCKET,13,920
B L GFLOOR 500,20,917
