SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/03/2023-31/03/2023,,
,,
Product Name,Qty.,Amount
,,
SUPER SONA,31,1628
GINGELLY OIL 1LI,12,1420
BROKEN RICE RAW,26,910
5LIT SUNPURE CAN,1,730
GOLD WINNER 1LR,5,692
BULLET RICE,10,680
KOLAM OLD,10,650
SPL SONA,11,570
ASH ATTA 10KG.,1,490
SHIVALINGA DAL,3,375
DHANIYA,2,340
CHILLI [B],0.5,260
URID DALL,2,240
ZEERA RICE FINE,2,230
GREEN MOONG,1.75,192.5
URID GOLA,1.5,180
MOONG DALL,1.5,172.5
SUGAR,4,157
CHILLI [M],0.5,150
AA 10RS,1,146
SAMRAT SEKAI POW,1,145
VIM 33RS,5,135
ATTA SPL,3,120
RUCHI GOLD,1,110
TIDE SET,1,108
TASTING POWDAR,0.5,100
AVALAKKI,2,100
JEERA 100G,2,100
RAVA(M),2,96
CASHEW JH,0.1,85
MY SANDEL S,2,83
TAMRAND,0.5,80
ANN.ROCKSALT 1KG,4,80
JAGARRY R,1.25,75
GN SEEDS,0.5,74
BADAM SEEDS,0.1,70
PEPPER 100GM,1,70
WHEAT FINE,1.5,66
SAIGO,0.525,63
VIM TUB 60RS,1,60
AASHIRVAD SALT,2,52
LOBO,0.5,50
RAVA(C),1,48
PATANJALI 100GM,1,48
VIJAY RAGI FLOOR,1,48
VIJAY IDLY RAVA,1,48
MALGUDI 50RS,1,47
ASH CP 100,1,40
B GRAM,0.5,40
GRAM DALL,0.5,40
GRB CP 100GM,1,38
MALGUDI 40RS,1,38
PICKLE 20RS,1.5,37.5
DRY GRAPES,0.1,36
AA GARAM 50GM,1,30
GRB TP 100GM,1,30
GRB DP 100GM,1,30
CLI SHAMPO 1RS,30,30
METHI 100G,1,24
MUSTARD 100G,1,20
G FLOUR,0.25,20
COL PASTE 50GM,1,20
STEEL SCRUB,2,20
SCBRITE 10RS,2,20
RED LABLE 10RS,2,20
VIM 10 RS,1,10
RAGI,0.25,10
,-----,-----------
SubTotal,213.325,12927.5
,,
Discount                        -1.50,,
,,
,,
-------------------------------------,,
12929,,
-------------------------------------,,
