SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/05/2023-31/05/2023,,
,,
Product Name,Qty.,Amount
,,
FINE SONA,653.5,38103
SHIVALING FINE,215.75,29109.5
SUNPURE 1LT,231,28189
HMT OLD,352,24370
BULLET RICE,301,22008
OLD SONA,459,21594
URID DALL,145.25,18341.5
BEST SONA,280.5,15179.5
ROYAL SONA,295.7,15012.4
SUGAR,340,14100
FREEDOM SF OIL,111,13844
ASH ATTA 10KG.,27,12675
15 LTR GOLDWINNE,6,10560
RAW SONA,185,10331
KOLAM OLD,152,9854
BABA BLK BULET,182,9828
SUPER SONA,163.55,8593.15
GN SEEDS,53.65,7576.5
CHILLI [B],9.8,6859.8
CHILLI [M],20.8,6555.5
ATTA SPL,147,6162
NANDINI 1LR,10,5950
W TASTY,102,5907
GINGELLY OIL 1LI,49,5871
DHANIYA FINE,34.15,5736
FRIED GRAM,59.6,5312.55
GREEN MOONG,43.5,5218
AVALAKKI,93.25,4538.5
RAGI,117,4530
SURF XL FR 6KG,3,4180
ASH ATTA 5KG,14,4176
GRB 500ML,10,4090
TABLE PAPER,50,4000
GOLD WINNER 1LR,29.5,3783
MOONG DALL,30.5,3684
JEERA LOOSE,6,3680
COTHAS 500G,12,3640
RAJMOUDI RICE,62.25,3585
10KG SPOORTHI,6,3530
CHILLI [G],8.47,3512.65
BABY CASHW,6,3120
10KG BABA GOLD,5,3000
JEERA FINE 100G,42,2927
ARIEL FR 4KG,2,2840
IND CLASIC,15,2700
JAGARRY R,44.14,2569.39
B L BANSI 1KG,47,2557
ARIEK TOP 6KG,2,2540
RAVA(M),49.5,2394
GEMINI OIL 1LT,18,2377
GRAM DALL,28.75,2321.5
MAIDA SPL,47,2274
WATER GLASS,30,2250
KV GOLD 26KG,30,2220
PEPPER FINE 100G,25,1990
GINGELLY OIL 500,31,1891
15 LTR SUNPURE,1,1880
POPPY SEEDS 100G,10,1820
CASHEW FULL,2,1760
B GRAM,21.4,1758.15
PONNY SPL,27,1703
TEJU 500GM,12,1680
DOSA RICE (FINE),46.5,1671
HMT SONA,28,1618
VRT SONA,26,1612
VIJAY IDLY RAVA,35,1605
BROOM BLUE,13,1580
MTR SP 500GM,6,1560
B L GFLOOR 500,30,1544
ANIL SEMIYA 500G,28,1540
G FLOUR,16.75,1480
WHEEL POWDER 1KG,20,1480
FORTUNE OIL,11,1426
ZEERA RICE FINE,11,1289.5
P CHUTE 600ML,5,1215
DHEEPAM 1LR B,6,1170
APLA 70RS,19,1167
RUCHI GOLD,11,1127
RED LABEL 500G,4,1120
SURF EASY 1KG,7,1110
ASH ATTA 1KG,17,1105
AASHIRVAD SALT,43,1075
URID GOLA,8.4,1060.75
IDLY RICE,26,1056
CASHW FINE 100GM,11,1039
MUSTARD FINE 100,49,1014
ANN.ROCKSALT 1KG,53,1013
TIDE 1 KG,7,1003
RED BOILED,20,1000
BRU 500G,2,995
KABUL,6.6,977.55
PEPPER LOOSE,1.5,975
AA 10RS,87,955
MY SANDEL SET,4,953
B L RICE FLOOR,21,948
TAMRAND,6.1,947.25
BROKEN RAW,26,939
FORTUNE RC,6,932
PICKELE 5KG,3,930
RED LABEL 100G,20,929
LIFE BOY 36RS,26,926
B L RAGI FLOOR,19,915
PARRY SUGAR 1KG,20,882
RED LABEL 250G,6,845
TATA SALT,31,834
KNG GR OIL,5,828
HARPIC 500ML,8,826
MILK MAID,6,816
VASLINE COCO B,2,815
SAIGO,6.5,800
MY SANDLE B,12,794
KRISHNA 500ML,2,793
SPL SONA,13.6,750
COL PASTE OFFER,4,731
MTR SEMIYA 900G,11,721
COPRA,4.01,713.2
ASH MULTI 5KG,2,705
GRB 200ML B,4,703
LOBO,6.85,701.8
METHI 100G,27.5,701
SANDIGE 1KG,5,700
MTR JAMUN OFFRR,5,700
5LIT SUNPURE CAN,1,695
T.STICKS,3.3,692
RED LABEL NC 250,4,686
DHEEPAM 1LTR P,5,680
TAJ 250G,3,677
MOP 240,3,670
VVD OIL 500ML,5,665
SANTOOR 38RS,19,665
VIM 33RS,20,651.8
MTR RASAM 200G,5,650
NYLON SAIGO 500G,10,650
MTR T POW 100G,21.5,649
GREEN PEAS,6,640.5
HORSE GRAM,6.5,638.25
COFFE GLASS,14,630
PEDIASURE 400GM,1,620
RAVA(C),13.25,606
BLACK STONE 125R,5,590
SURF XL 22RS,27,588.5
RIN BIG BAR,22,583
GRB 100ML,6,576
TIDE LIQ FR,3,575
DRY GRAPES 250GM,6,571
TIDE POWDER 6KG,1,565
WHEAT FINE,14,560
TAJ 100G,6,558
ANNAPURNA COFFE,2,550
MAGGI 12RS,40,548
ANNAPURNA COFFE,4,546
RED LABLE 1KG,1,545
MTR CP 100GM,12,540
LAVANG L,0.5,536
MESWAK OFFER,3,528
JEERA FINE 250G,3,525
CYCLE 50RS,11,521
YALAKI FINE,0.2,503.75
B L CHIROTI 500G,18,502
MUSTERD LOOSE,3.5,490
