product_name,NOV_23_quantity,NOV_23_amount,FEB_23_quantity,FEB_23_amount,MAR_23_quantity,MAR_23_amount,JAN_24_quantity,JAN_24_amount,JAN_23_quantity,JAN_23_amount,JUNE_23_quantity,JUNE_23_amount,APRIL_23_quantity,APRIL_23_amount,SEP_23_quantity,SEP_23_amount,OCT_23_quantity,OCT_23_amount,MAY_23_quantity,MAY_23_amount,JULY_23_quantity,JULY_23_amount,AUG_23_quantity,AUG_23_amount,DEC_23_quantity,DEC_23_amount
KV GOLD 26KG,28.0,45800.0,0.0,0.0,0.0,0.0,2.0,3494.0,0.0,0.0,35.0,53375.0,0.0,0.0,12.0,19380.0,0.0,0.0,30.0,2220.0,2.0,3280.0,61.0,95600.0,1.0,1650.0
OLD SONA,848.5,45685.0,0.0,0.0,0.0,0.0,692.35,38591.6,0.0,0.0,1159.0,57117.0,347.13,15944.29,587.25,30697.55,593.0,31817.0,459.0,21594.0,424.0,21102.0,774.5,38956.5,769.0,42477.0
RAW SONA,546.5,34830.0,237.0,13321.0,0.0,0.0,744.9,49144.1,38.5,2162.5,250.0,14654.0,20.0,1123.0,131.0,8063.0,282.5,17950.0,185.0,10331.0,368.5,22142.0,298.0,17920.0,265.0,17206.0
BULLET RICE,353.0,25367.0,142.75,10378.5,10.0,680.0,73.0,5845.0,248.25,17496.5,125.5,9420.0,155.0,11229.0,151.0,11504.0,193.0,14647.0,301.0,22008.0,207.75,15722.0,187.0,14185.5,172.0,13520.0
SHIVALING FINE,122.6,22411.0,0.0,0.0,0.0,0.0,146.85,25726.25,0.0,0.0,123.25,18901.0,163.8,21788.2,119.25,20878.75,102.95,18538.0,215.75,29109.5,329.9,51812.45,379.5,61016.25,116.05,20662.75
SUPER SONA,257.0,15412.1,219.5,11305.5,31.0,1628.0,280.0,17792.0,449.0,22862.0,161.0,9060.1,27.8,1529.0,200.35,12011.0,163.3,9979.6,163.55,8593.15,254.5,14609.0,101.6,5957.0,188.0,11972.0
HMT OLD,204.0,15066.0,0.0,0.0,0.0,0.0,215.5,16364.0,0.0,0.0,73.0,5098.0,111.0,7549.0,84.25,6060.5,177.0,12956.0,352.0,24370.0,520.0,37054.0,567.5,40458.0,243.0,18266.0
SUNPURE 1LT,125.0,14248.0,184.0,26670.0,0.0,0.0,147.0,16707.0,169.0,25319.0,217.0,25316.0,211.0,27031.0,152.0,17553.0,228.0,26070.0,231.0,28189.0,377.0,43493.0,303.0,35556.0,125.0,14224.0
BABA BLK BULET,8.0,13040.0,0.0,0.0,0.0,0.0,1.0,1768.0,0.0,0.0,39.0,19708.0,26.0,1404.0,5.0,7740.0,1.0,1600.0,182.0,9828.0,17.0,25480.0,10.0,15300.0,5.0,8250.0
ROYAL SONA,222.5,12408.0,0.0,0.0,0.0,0.0,201.0,11606.0,25.0,1250.0,63.0,3194.5,441.5,23248.0,75.0,4115.0,136.0,7517.5,295.7,15012.4,51.5,2753.0,219.0,11735.0,144.0,8163.0
FINE SONA,171.5,11165.0,135.0,7462.0,0.0,0.0,404.0,27359.0,371.5,20191.0,601.0,36822.0,1329.5,75936.4,208.75,13295.0,280.5,18178.5,653.5,38103.0,206.0,12824.0,284.25,18023.0,461.8,31074.4
SUGAR,225.3,9677.9,272.8,10622.5,4.0,157.0,272.1,11469.2,399.35,15385.9,422.25,17539.0,241.9,9844.7,203.0,8350.5,289.25,12185.75,340.0,14100.0,284.75,11545.5,465.05,18680.4,301.4,12819.7
ATTA SPL,235.0,9460.0,128.5,5134.0,3.0,120.0,306.0,12230.0,178.7,6974.0,254.0,9877.0,258.5,10281.0,169.9,6787.0,283.5,11358.0,147.0,6162.0,318.85,12286.0,225.0,8732.0,195.5,7770.0
GREEN MOONG,61.5,8416.5,19.25,2113.0,1.75,192.5,22.503,2954.64,26.25,2857.5,20.5,2609.75,15.5,1863.0,23.005,3143.23,14.85,2091.0,43.5,5218.0,22.0,2821.5,64.5,8085.5,19.0,2609.0
BULLET SONA,130.0,8148.0,326.0,14998.0,0.0,0.0,623.75,41014.5,1858.0,77384.0,0.0,0.0,76.5,4598.0,101.0,5748.8,53.5,3103.0,1.0,62.0,0.0,0.0,77.0,4620.0,318.5,20560.5
RAVA(M),164.75,8017.0,90.75,4360.0,2.0,96.0,91.75,4410.0,100.5,4752.0,51.5,2497.0,59.15,2876.2,65.0,3139.0,74.0,3562.0,49.5,2394.0,64.0,3060.0,101.25,4894.5,90.5,4387.0
URID DALL,49.856,7304.64,67.45,8157.5,2.0,240.0,71.0,10280.25,46.7,5594.0,49.1,6364.0,66.3,8465.7,42.05,5506.0,37.5,5181.95,145.25,18341.5,92.64,11793.7,62.25,7870.25,50.25,7375.0
GN SEEDS,44.85,6677.5,65.25,9376.75,0.5,74.0,75.84,11258.32,75.55,10985.25,35.5,5148.25,44.35,6280.75,38.55,5768.2,43.85,6706.8,53.65,7576.5,45.25,6539.0,96.7,14120.0,33.9,5050.7
ASH ATTA 5KG,22.0,6625.0,10.0,2990.0,0.0,0.0,9.0,2770.0,13.0,3880.0,7.0,2083.0,11.0,3310.0,12.0,3547.0,14.0,4096.0,14.0,4176.0,11.0,3254.0,15.0,4392.0,12.0,3725.0
ASH ATTA 10KG.,12.0,5795.0,19.0,9210.0,1.0,490.0,15.0,7825.0,11.0,5270.0,19.0,9010.0,11.0,5370.0,13.0,6365.0,14.0,6850.0,27.0,12675.0,16.0,7850.0,24.0,11750.0,11.0,5621.0
FREEDOM SF OIL,49.0,5581.0,0.0,0.0,0.0,0.0,87.0,9872.0,17.0,2566.0,336.0,39113.0,32.0,4095.0,60.0,6932.0,99.0,11259.0,111.0,13844.0,262.0,31204.0,69.0,8202.0,55.0,6275.0
MOONG DALL,41.5,5545.0,51.75,5968.25,1.5,172.5,43.25,5720.0,125.9,13579.55,27.65,3458.25,45.8,5551.7,33.5,4285.0,29.7,3978.4,30.5,3684.0,26.253,3255.63,49.75,6227.75,22.5,3025.25
GINGELLY OIL 1LI,50.0,5393.0,56.5,6779.5,12.0,1420.0,56.0,6017.0,45.0,5530.0,54.0,6062.0,29.0,3466.0,55.0,6069.0,46.0,4980.0,49.0,5871.0,35.0,3882.0,57.0,6207.0,81.0,8696.0
